data_venda,produto,marca,categoria,subcategoria,cor,tamanho,quant_vendida,preco
2022-01-01,Smartphone,Xiaomi,Eletrônicos,Smartphones,Preto,128GB,10,1500.00
2022-01-01,Notebook,Dell,Computadores,Notebooks,Prata,14",5,4000.00
2022-01-01,Smart TV 4K,Samsung,Eletrônicos,Televisores,Preto,55",2,5000.00
2022-01-02,Caixa de Som Bluetooth,JBL,Eletrônicos,Acessórios de Áudio,Azul,N/A,12,300.00
2022-01-02,Mouse Gamer,Logitech,Computadores,Periféricos,Preto,N/A,20,150.00
2022-01-02,Teclado Mecânico,Corsair,Computadores,Periféricos,Preto,N/A,8,400.00
2022-01-03,Fone de Ouvido com Microfone,Philips,Eletrônicos,Fones de Ouvido,Branco,N/A,10,100.00
2022-01-04,Smart TV 4K,Sony,Eletrônicos,Televisores,Preto,55",5,4500.00
2022-01-04,Smartphone,Xiaomi,Eletrônicos,Smartphones,Preto,64GB,15,1500.00
2022-01-04,Notebook,Lenovo,Computadores,Notebooks,Cinza,15.6",10,3000.00
2022-01-04,Caixa de Som Bluetooth,JBL,Eletrônicos,Acessórios de Áudio,Azul,N/A,20,400.00
2022-01-04,SSD,Crucial,Computadores,Armazenamento Interno,N/A,1TB,5,900.00
2022-01-04,Monitor,Acer,Eletrônicos,Monitores,Preto,24",8,800.00
2022-01-05,Notebook,Dell,Computadores,Notebooks,Preto,14",12,4500.00
2022-01-05,Fone de Ouvido com Microfone,Philips,Eletrônicos,Fones de Ouvido,Preto,N/A,25,70.00
2022-01-05,Caixa de Som Portátil,JBL,Eletrônicos,Acessórios de Áudio,Preto,N/A,15,800.00
2022-01-05,Roteador Wi-Fi,TP-Link,Eletrônicos,Rede e Conectividade,Preto,N/A,8,200.00
2022-01-05,HD Externo,Western Digital,Computadores,Armazenamento Externo,Preto,2TB,3,700.00
2022-01-05,Smart TV 4K,LG,Eletrônicos,Televisores,Preto,65",7,6000.00
2022-01-06,Smartphone Top,Samsung,Eletrônicos,Smartphones,Preto,256GB,18,4000.00
2022-01-06,Notebook,HP,Computadores,Notebooks,Prata
2022-01-06,Monitor,AOC,Eletrônicos,Monitores,Preto,27",3,1200.00
2022-01-06,Mouse sem Fio,Microsoft,Computadores,Periféricos,Preto,N/A,6,100.00
2022-01-07,Fone de Ouvido com Microfone,Sony,Eletrônicos,Fones de Ouvido,Preto,N/A,8,120.00
2022-01-07,Notebook,Asus,Computadores,Notebooks,Preto,15.6",9,3500.00
2022-01-07,Smart TV 4K,Xiaomi,Eletrônicos,Televisores,Preto,50",3,3000.00
